time,v_pu,f_pu,omega_int,omega_bus,rocof,Pe_pu
3.6451000000000047,0.9860542257855756,1.0001080977915255,4.589804771081829e-05,4.9829337855275054e-05,0.00020110554635050914,0.4968414839855023
3.6459000000000046,0.9860478061058202,1.0001091785966816,4.606173595097334e-05,4.996728873278882e-05,0.00020811308379076188,0.49676731541907615
3.6460000000000043,0.9860470036458509,1.000109313697326,4.6082591044147324e-05,4.998510273281031e-05,0.00020898764699947558,0.4967580577712396
3.646100000000004,0.9860462011858815,1.0001094487979705,4.6103533480373134e-05,5.0002404612078495e-05,0.00020986003967572112,0.4967488018704761
3.646900000000005,0.9860397815061261,1.0001105296031256,4.6274209847583786e-05,5.014736359527626e-05,0.00021682890040963798,0.49667484536606293
3.6470000000000047,0.9860389790461568,1.00011066470377,4.629593628064215e-05,5.016605554388874e-05,0.0002176986237047429,0.4966656143690485
3.6471000000000044,0.9860381765861874,1.0001107998044145,4.631774957232463e-05,5.0184232543532715e-05,0.0002185661679822799,0.4966563851481217
3.6479000000000044,0.9860317569064322,1.0001118806095706,4.649537531411502e-05,5.0336161028349584e-05,0.00022549620096923295,0.49658264318495715
3.648000000000004,0.9860309544464628,1.000112015710215,4.651796823450853e-05,5.035572608243996e-05,0.00022636106554699276,0.4965734391476144
3.648100000000004,0.9860301519864935,1.0001121508108595,4.654064752722431e-05,5.037477354114245e-05,0.0002272237429535636,0.4965642369151755
3.648900000000004,0.9860237323067381,1.0001132316160146,4.672518374267681e-05,5.0533632451905583e-05,0.00023411480290524977,0.4964907119167639
3.6490000000000036,0.9860229298467688,1.000113366716659,4.6748638279637145e-05,5.0554066745728774e-05,0.00023497479071488137,0.49648153514060034
3.6491000000000033,0.9860221273867994,1.0001135018173035,4.677217870081968e-05,5.0573980547781336e-05,0.00023583258290986887,0.496472360198371
3.649900000000005,0.986015707707044,1.0001145826224596,4.696358634208545e-05,5.073973123002227e-05,0.00024268451990366868,0.4963990546439222
3.650000000000005,0.9860149052470747,1.000114717723104,4.698789760617979e-05,5.076102774784948e-05,0.00024353961221718068,0.49638990543849276
3.6501000000000046,0.9860141027871053,1.0001148528237485,4.701229426452877e-05,5.078180073559994e-05,0.00024439250080832055,0.49638075809493254
3.6509000000000045,0.98600768310735,1.0001159336289036,4.72105341360102e-05,5.0954404761244473e-05,0.00025120517030113865,0.49630767440801776
3.6510000000000042,0.9860068806473806,1.000116068729548,4.723569721967712e-05,5.097655986063852e-05,0.0002520553491646149,0.49629855307469495
3.651100000000004,0.9860060781874113,1.0001162038301925,4.726094520584301e-05,5.099818857430304e-05,0.00025290331632888807,0.49628943363147693
3.651900000000005,0.985999658507656,1.0001172846353485,4.746597796879097e-05,5.1177606276962155e-05,0.0002596765763240305,0.4962165742154633
3.6520000000000046,0.9859988560476867,1.000117419735993,4.7491987946706306e-05,5.120061490009662e-05,0.00026052182406893776,0.49620748105357043
3.6521000000000043,0.9859980535877173,1.0001175548366374,4.751808233360464e-05,5.122309424629252e-05,0.0002613648522694946,0.4961983898097437
3.652900000000005,0.985991633907962,1.0001186356417926,4.7729868508448316e-05,5.140928641783152e-05,0.0002680985631197119,0.4961257570481183
3.653000000000005,0.9859908314479926,1.000118770742437,4.775672043781729e-05,5.143314363926643e-05,0.00026893886237247533,0.4961166923544179
